Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,사업장명,인허가일자,영업상태명,폐업일자,지번주소,도로명주소,좌표정보(X),좌표정보(Y),소재지면적,가격대,위도,경도,지하철역과거리,주변저가형카페수,주변중저가형카페수,주변고가형카페수,주변평균월세,주변유동인구수
0,0.0,0.0,0.0,0.0,메가엠지씨커피 성북보문점,2024-04-12,영업/정상,,서울특별시 성북구 보문동4가 17,"서울특별시 성북구 보문로 88, 1층 (보문동4가)",201768.954624973,453426.841551586,63.47,저가,37.58314185492975,127.0179248136011,0.3325056220186424,0.0,0.0,0.0,52.366666666666674,4089566.0
1,1.0,1.0,1.0,1.0,메가엠지씨커피 대치포스코점,2024-04-12,영업/정상,,서울특별시 강남구 대치동 891-44 노벨과개미,"서울특별시 강남구 테헤란로78길 16, 노벨과개미 지상2층 (대치동)",204828.002550249,444777.618635215,54.41,저가,37.50520234333971,127.05250151095456,0.5456103341900911,0.0,1.0,4.0,69.35555555555555,21670795.0
2,2.0,2.0,2.0,2.0,컴포즈커피 보라매중앙점,2024-04-11,영업/정상,,서울특별시 동작구 신대방동 362-29,"서울특별시 동작구 여의대방로24길 24, 1층 (신대방동)",192991.480776095,443965.263237486,69.22,저가,37.49786824327333,126.9186423655657,0.2544257417947593,1.0,1.0,0.0,26.58888888888889,230343.0
3,3.0,3.0,3.0,3.0,메가엠지씨커피 압구정로데오역점,2023-03-24,영업/정상,,서울특별시 강남구 신사동 661-1,"서울특별시 강남구 압구정로 338, 지상1층 3호 (신사동)",203368.92423791,447298.458358351,40.0,저가,37.52792138223204,127.03601117076752,0.8357279468402172,1.0,1.0,4.0,46.7,465419.0
4,4.0,4.0,4.0,4.0,메가엠지씨커피 금천롯데캐슬,2019-03-18,영업/정상,,서울특별시 금천구 독산동 1147 금천롯데캐슬골드파크1차아파트,"서울특별시 금천구 벚꽃로 40, 113동 107호 (독산동, 금천롯데캐슬골드파크1차아파트)",190592.734583097,439737.220956785,39.87,저가,37.4597520859571,126.89157042259676,2.350549408872294,2.0,0.0,2.0,70.85555555555555,664985.0
5,5.0,5.0,5.0,5.0,빽다방 빵연구소 연세대SK국제학사점,2022-06-21,폐업,2023-02-28,서울특별시 서대문구 신촌동 134 연세대학교,"서울특별시 서대문구 연세로 50, 연세대학교 SK국제학사 지2층 (신촌동)",194584.959249312,451381.585492051,186.5,저가,37.56469964305744,126.9366069810422,0.9809182078217238,1.0,3.0,3.0,45.63333333333334,394961.0
6,6.0,6.0,6.0,6.0,메가엠지씨커피 중곡대원점,2023-03-27,영업/정상,,서울특별시 광진구 중곡동 18-74 경동빌딩 103호,"서울특별시 광진구 용마산로 114, 경동빌딩 1층 103호 (중곡동)",207626.759613448,451292.042139536,89.2,저가,37.56387813253746,127.0842215121498,0.1485404850260026,0.0,1.0,2.0,31.988888888888887,3011751.0
7,7.0,7.0,7.0,7.0,메가엠지씨커피 청구신당점,2023-03-27,영업/정상,,서울특별시 중구 신당동 291-29,"서울특별시 중구 다산로36길 36, 1층 1호 (신당동)",201422.078206465,451064.565340675,56.0,저가,37.56185861615717,127.01399330223218,0.1683838821182523,1.0,0.0,0.0,44.73333333333333,3799497.0
8,8.0,8.0,8.0,8.0,컴포즈커피 명지대정문점,2023-02-16,영업/정상,,서울특별시 서대문구 남가좌동 324-1,"서울특별시 서대문구 거북골로 21, 1층 일부 (남가좌동)",193303.802170644,453090.939536819,35.0,저가,37.58009218973367,126.92209027477506,1.1881234797285645,2.0,1.0,2.0,51.66666666666666,6789722.0
9,9.0,9.0,9.0,9.0,메가엠지씨커피 노원월계초점,2023-10-30,영업/정상,,서울특별시 노원구 월계동 845-5 성진빌딩,"서울특별시 노원구 월계로45길 37, 성진빌딩 1층 (월계동)",204376.414367095,458295.225158013,82.5,저가,37.62699661272826,127.04747366125788,1.8816107198141163,1.0,2.0,0.0,36.16666666666666,951890.0
10,10.0,10.0,10.0,10.0,컴포즈커피 용산아스테리움점,2023-06-01,영업/정상,,서울특별시 용산구 한강로2가 419 아스테리움 용산,"서울특별시 용산구 한강대로30길 25, 제비동 제지1층 114호 (한강로2가, 아스테리움 용산)",197177.441827434,447264.444809335,39.01,저가,37.52761632269211,126.96596654466558,0.2602439823127569,2.0,1.0,3.0,32.74444444444444,8378097.0
11,11.0,11.0,11.0,11.0,메가엠지씨커피 송파문정공원점,2023-03-29,영업/정상,,서울특별시 송파구 문정동 116-4 도은빌딩,"서울특별시 송파구 송이로 239, 도은빌딩 1층 3호 (문정동)",211591.053808857,442873.351740073,32.4,저가,37.487985312660186,127.12895933949947,0.6564369147337847,0.0,0.0,0.0,30.91111111111111,3734882.0
12,12.0,12.0,12.0,12.0,컴포즈커피 명동길점,2024-02-19,영업/정상,,서울특별시 중구 명동1가 45-1,"서울특별시 중구 명동7길 18, 1층 (명동1가)",198556.141608393,451362.77051901,23.0,저가,37.5645451775195,126.98155540796064,0.1816930858633668,4.0,4.0,35.0,84.78888888888889,3421674.0
13,13.0,13.0,13.0,13.0,메가엠지씨커피 방배카페거리점,2023-02-16,폐업,2023-05-08,서울특별시 서초구 방배동 760-2 2동 1층 314호,"서울특별시 서초구 방배중앙로 188, 2동 1층 314호 (방배동)",198675.267764301,443752.712313929,48.0,저가,37.49597919165636,126.98291813689188,0.8076562906798509,0.0,0.0,4.0,43.78888888888888,4907819.0
14,14.0,14.0,14.0,14.0,컴포즈커피 마포광흥창점(COMPOSECOFFEE),2023-04-26,영업/정상,,서울특별시 마포구 구수동 6-8,"서울특별시 마포구 독막로 176, 1층 1-2호 (구수동)",194014.30771856,449443.987812619,47.19,저가,37.54723852203173,126.93016395688278,0.2037353832075482,1.0,1.0,1.0,56.72222222222222,1225266.0
15,15.0,15.0,15.0,15.0,메가엠지씨커피 상계수락점,2023-03-09,영업/정상,,서울특별시 노원구 상계동 966-1 송현빌딩,"서울특별시 노원구 동일로 1596, 송현빌딩 1층 (상계동)",204930.618820448,463164.59843748,56.0,저가,37.67086570488762,127.05378416349495,0.4597137450062472,0.0,0.0,0.0,26.266666666666666,3586097.0
16,16.0,16.0,16.0,16.0,컴포즈커피 창동역서부점,2023-03-06,영업/정상,,서울특별시 도봉구 창동 74-5,"서울특별시 도봉구 노해로63길 78, 1층 101호 (창동)",204023.562241856,461147.294725779,31.9,저가,37.6526946899203,127.0434919722262,0.3920945280728705,1.0,1.0,2.0,36.55555555555556,1597250.0
17,17.0,17.0,17.0,17.0,메가엠지씨커피 온수역점,2021-12-14,영업/정상,,서울특별시 구로구 온수동 157 다청림시티,"서울특별시 구로구 부일로1길 26-12, 지하1층 제B05호 (온수동, 다청림시티)",184120.115396566,443353.535804167,88.27,저가,37.49224609628627,126.8183336856138,0.2899551434861058,1.0,0.0,0.0,47.12222222222224,64192.0
18,18.0,18.0,18.0,18.0,메가엠지씨커피 광흥창역점,2022-04-05,영업/정상,,서울특별시 마포구 창전동 444 서강쌍용예가,"서울특별시 마포구 서강로 55, 서강쌍용예가 제근린생활시설(2단지) 1층 101,102호 (창전동)",193694.991688366,449568.977982811,83.26,저가,37.548362521628825,126.92654949447608,0.3302219718117534,0.0,1.0,1.0,56.72222222222222,4221665.0
19,19.0,19.0,19.0,19.0,메가엠지씨커피 신정네거리역점,2019-08-30,영업/정상,,서울특별시 양천구 신정동 1183-5 1층,"서울특별시 양천구 중앙로 265, 1층 (신정동)",186901.467005408,446420.057014711,72.0,저가,37.51991909772171,126.84972939569404,0.3867057283257418,2.0,2.0,2.0,28.6,3666464.0
20,20.0,20.0,20.0,20.0,컴포즈커피 망원시장점,2023-03-08,영업/정상,,서울특별시 마포구 망원동 401-12,"서울특별시 마포구 망원로8길 53, 1층 102호 (망원동)",191669.161026006,450316.175639076,36.88,저가,37.555078476509216,126.9036163279493,0.5596433870345533,3.0,0.0,0.0,41.93333333333334,19351605.0
21,21.0,21.0,21.0,21.0,메가엠지씨커피 중랑망우점,2023-03-08,영업/정상,,서울특별시 중랑구 망우동 182-11 동원빌딩,"서울특별시 중랑구 양원역로 22-1, 동원빌딩 1층 (망우동)",209471.879560652,455599.609839123,95.7,저가,37.60267166016146,127.10516079189988,1.1247220649717924,0.0,1.0,0.0,46.333333333333336,3519634.0
22,22.0,22.0,22.0,22.0,메가엠지씨커피 신내동성점,2023-10-31,영업/정상,,서울특별시 중랑구 신내동 393-17 리치하우스,"서울특별시 중랑구 봉화산로 233-1, 1층 101호 (신내동, 리치하우스)",208641.606987385,456222.99349841,72.23,저가,37.60829634201078,127.09576577580314,0.816460703437007,0.0,1.0,1.0,46.333333333333336,245556.0
23,23.0,23.0,23.0,23.0,메가엠지씨커피 방배백석점,2023-04-27,영업/정상,,서울특별시 서초구 방배동 983-11,"서울특별시 서초구 방배로 58, 1층 105호 (방배동)",199837.566688605,441982.919148591,58.18,저가,37.48003436096372,126.99606226485186,0.1625354424196215,1.0,1.0,5.0,43.78888888888888,203585.0
24,24.0,24.0,24.0,24.0,메가엠지씨커피 중대후문점,2023-04-27,영업/정상,,서울특별시 동작구 상도동 7-60,"서울특별시 동작구 흑석로 21, 1층 101호 (상도동)",195784.575494073,444763.277422657,141.61,저가,37.5050754982717,126.95022355610143,0.3117061453178555,0.0,0.0,0.0,26.58888888888889,2272845.0
25,25.0,25.0,25.0,25.0,컴포즈커피 청계천베네치아점,2023-03-09,영업/정상,,서울특별시 중구 황학동 2545 롯데캐슬베네치아,"서울특별시 중구 청계천로 400, 메가몰동 1층 1031-A호 (황학동, 롯데캐슬베네치아)",201823.908977364,452076.818664092,33.58,저가,37.57097822274756,127.01854373612623,0.2512761036852315,2.0,0.0,2.0,44.73333333333333,1289943.0
26,26.0,26.0,26.0,26.0,메가엠지씨커피 동대문한천로점,2023-03-09,영업/정상,,서울특별시 동대문구 장안동 192-75,"서울특별시 동대문구 한천로 60, 1층 (장안동)",205456.377749262,451632.96031987,105.0,저가,37.5669650178557,127.05965852736868,0.6414461799496857,0.0,1.0,0.0,33.922222222222224,2169578.0
27,27.0,27.0,27.0,27.0,메가엠지씨커피 가산리더스타워점,2021-08-04,영업/정상,,서울특별시 금천구 가산동 60-15 삼성리더스타워 B103호,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 지하 1층 B103호 (가산동)",189685.715834343,442026.454121483,64.36,저가,37.48036837870533,126.88128635131996,0.123047819116574,4.0,2.0,10.0,47.12222222222224,4504033.0
28,28.0,28.0,28.0,28.0,메가엠지씨커피 서초양재점,2023-09-01,영업/정상,,서울특별시 서초구 양재동 20-29 1층 102호,"서울특별시 서초구 강남대로 156-2, 1층 102호 (양재동)",203387.555054125,441822.527271293,33.0,저가,37.47858328161771,127.03619721290512,0.7322282073623949,0.0,2.0,0.0,91.44444444444444,277450.0
29,29.0,29.0,29.0,29.0,메가엠지씨커피 영등포문래점,2023-06-01,영업/정상,,서울특별시 영등포구 문래동3가 84-2 동국메뜨리앙,"서울특별시 영등포구 선유로 76, 동국메뜨리앙 1층 108호 (문래동3가)",190199.2294276,446496.865300952,53.34,저가,37.52065226930659,126.88703215588892,0.5274169210009972,2.0,1.0,2.0,34.88888888888889,1259118.0
30,30.0,30.0,30.0,30.0,빽다방 중계브라운스톤점,2023-03-31,영업/정상,,서울특별시 노원구 중계동 506 브라운스톤중계,"서울특별시 노원구 동일로203가길 29, 176호 (중계동, 브라운스톤중계)",205601.926027171,459732.128595514,25.33,저가,37.63993622951143,127.06136723340528,0.5874641062302632,2.0,0.0,0.0,36.55555555555556,192966.0
31,31.0,31.0,31.0,31.0,메가엠지씨커피 일원맛의거리점,2023-03-31,영업/정상,,서울특별시 강남구 일원동 685-6,"서울특별시 강남구 일원로9길 7, 지상1층 (일원동)",207197.816154268,443052.017978496,52.8,저가,37.48963944785442,127.07928654121592,0.4474726859906482,2.0,0.0,0.0,34.18888888888889,828385.0
32,32.0,32.0,32.0,32.0,메가엠지씨커피 고척중앙점,2023-03-31,영업/정상,,서울특별시 구로구 고척동 76-38 원메디타운,"서울특별시 구로구 경인로 403, 원메디타운 A동 101호 (고척동)",187923.27573024,443993.670252899,106.82,저가,37.498071485327074,126.86132797805809,1.6575858457923134,0.0,1.0,2.0,47.12222222222224,224948.0
33,33.0,33.0,33.0,33.0,컴포즈커피 강서공항점,2023-03-10,영업/정상,,"서울특별시 강서구 방화동 606-103 드림 1,2층","서울특별시 강서구 방화동로 57, 드림 1,2층 (방화동)",183319.698353866,451505.779143224,90.7,저가,37.56568278023846,126.809097115552,0.4836638121552015,1.0,1.0,0.0,28.6,1842615.0
34,34.0,34.0,34.0,34.0,빽다방빵연구소 북한산성점,2021-01-12,영업/정상,,"서울특별시 은평구 진관동 279-50 지1층, 1층, 2층","서울특별시 은평구 대서문길 23, 지1층, 1층, 2층 (진관동)",195337.443196539,461585.175092979,451.74,저가,37.65663624732693,126.94505817657516,3.0912055775384126,0.0,0.0,1.0,38.18888888888889,48067.0
35,35.0,35.0,35.0,35.0,컴포즈커피 중랑용마산점,2022-05-11,영업/정상,,서울특별시 중랑구 면목동 371-146,"서울특별시 중랑구 면목로 252-1, 1층 (면목동)",207491.947785979,452555.211061417,51.48,저가,37.57526021801692,127.08270843523006,0.4069224208667285,1.0,1.0,1.0,33.922222222222224,187929.0
36,36.0,36.0,36.0,36.0,빽다방 몽촌토성역점,2024-06-03,영업/정상,,서울특별시 송파구 방이동 46-6 잠실 에스뜨레야90,"서울특별시 송파구 백제고분로51길 23, 1층 104호 (방이동)",209906.961485974,446035.154945848,35.98,저가,37.51649252702728,127.1099595364868,0.0895027259399319,1.0,1.0,2.0,32.56666666666667,6567935.0
37,37.0,37.0,37.0,37.0,메가엠지씨커피 신림프라임법학원점,2016-04-07,영업/정상,,서울특별시 관악구 신림동 131-21,"서울특별시 관악구 신림로 90, 1층 (신림동)",194567.749823229,440976.482644471,33.0,저가,37.47095003508075,126.93648997232842,1.5285366860091567,1.0,1.0,1.0,70.85555555555555,4902301.0
38,38.0,38.0,38.0,38.0,메가엠지씨커피 서울교통회관점,2024-06-03,영업/정상,,서울특별시 송파구 신천동 11-7 사단법인 서울특별시 교통회관,"서울특별시 송파구 올림픽로 319, 사단법인 서울특별시 교통회관 1층 (신천동)",209243.169349927,445935.092530909,99.2,저가,37.515597807997146,127.10244990942554,0.1743013954843481,1.0,1.0,10.0,32.56666666666667,16497672.0
39,39.0,39.0,39.0,39.0,컴포즈커피 개포중앙점,2024-06-03,영업/정상,,"서울특별시 강남구 개포동 12-4 석탑프라자, 개포3동주민센터","서울특별시 강남구 개포로 615, 석탑프라자, 개포3동주민센터 지상1층 105호 (개포동)",206618.425209149,443390.560639694,23.09,저가,37.49269400602168,127.07273820828834,0.4560811752218472,2.0,0.0,0.0,34.18888888888889,828385.0
40,40.0,40.0,40.0,40.0,메가엠지씨커피 서울신미림초점,2024-02-19,영업/정상,,서울특별시 구로구 신도림동 400-1,"서울특별시 구로구 신도림로 7, 1층 112-1호 (신도림동)",189067.276002245,444891.605594405,65.0,저가,37.50617617553392,126.87425154470736,1.0331497244380188,0.0,1.0,1.0,47.12222222222224,2731150.0
41,41.0,41.0,41.0,41.0,메가엠지씨커피 압구정카페골목점,2024-06-03,영업/정상,,서울특별시 강남구 신사동 665-6 신한양빌딩,"서울특별시 강남구 선릉로 815, 신한양빌딩 지상1층 6호 (신사동)",203403.748948936,446962.889853107,52.89,저가,37.52489780305248,127.0364036210104,0.7295869418285458,1.0,1.0,4.0,46.7,3004203.0
42,42.0,42.0,42.0,42.0,컴포즈커피 동덕여대점,2023-03-13,영업/정상,,서울특별시 성북구 하월곡동 27-2,"서울특별시 성북구 화랑로11길 37, 1층 (하월곡동)",203658.582613701,455735.272565639,44.6,저가,37.60393501739922,127.03932943407766,0.3047746247307248,0.0,1.0,4.0,36.16666666666666,1626537.0
43,43.0,43.0,43.0,43.0,메가엠지씨커피 서초샤르망점,2023-04-03,영업/정상,,서울특별시 서초구 서초동 1601-1 브이 샤르망,"서울특별시 서초구 효령로55길 28, 1층 106호 (서초동)",201213.927033328,442658.693997006,44.0,저가,37.48612241434358,127.01162425820462,0.4329130773273583,2.0,2.0,8.0,37.3,5958493.0
44,44.0,44.0,44.0,44.0,메가엠지씨커피 아현중앙점,2023-04-03,영업/정상,,서울특별시 마포구 아현동 347-1,"서울특별시 마포구 신촌로 236-1, 1층 (아현동)",195682.783952297,450515.145611988,81.61,저가,37.55689898786889,126.94903803521358,0.1154065638456072,0.0,0.0,1.0,60.1,2005703.0
45,45.0,45.0,45.0,45.0,메가엠지씨커피올림픽대교북단점,2023-03-14,영업/정상,,서울특별시 광진구 구의동 200-20 구의동20020빌딩,"서울특별시 광진구 아차산로 481, 구의동20020빌딩 1층 (구의동)",208324.939444793,448746.466638461,55.03,저가,37.54093677083593,127.09209521882944,0.4180315142773738,1.0,1.0,2.0,46.53333333333333,4434046.0
46,46.0,46.0,46.0,46.0,빽다방 동대문역사문화공원역점,2023-09-04,영업/정상,,서울특별시 중구 을지로6가 18-71 대화빌딩,"서울특별시 중구 을지로43길 13, 대화빌딩 1층 (을지로6가)",200531.498744146,451623.151463226,77.21,저가,37.56689229634231,127.00391388965846,0.4640812818497268,4.0,2.0,9.0,58.21111111111111,4155281.0
47,47.0,47.0,47.0,47.0,메가엠지씨커피 IBK파이낸스점,2024-02-19,영업/정상,,서울특별시 중구 을지로2가 206 IBK파이낸스타워,"서울특별시 중구 을지로 82, IBK파이낸스타워 27층 (을지로2가)",198791.046999434,451496.528160092,30.0,저가,37.565750673290026,126.9842139804269,0.3208129898681359,3.0,2.0,15.0,84.78888888888889,3421674.0
48,48.0,48.0,48.0,48.0,컴포즈커피 시흥은행나무점,2023-03-15,영업/정상,,서울특별시 금천구 시흥동 911-3,"서울특별시 금천구 금하로 714, 1층 103호 (시흥동)",191875.04821112,438743.141398693,20.0,저가,37.45080762512053,126.90607518124764,3.826800038655128,1.0,1.0,0.0,70.85555555555555,805223.0
49,50.0,50.0,50.0,50.0,메가엠지씨커피 교보타워사거리점,2023-04-28,영업/정상,,서울특별시 서초구 반포동 737-16 운학빌딩,"서울특별시 서초구 강남대로79길 10, 1층 (반포동)",201982.976325002,444788.702273191,46.2,저가,37.50531249869639,127.02032527928834,0.8204819473104725,1.0,2.0,12.0,55.45555555555556,14865818.0
50,51.0,51.0,51.0,51.0,메가엠지씨커피 고덕역점,2019-11-04,영업/정상,,서울특별시 강동구 명일동 47-10 성은빌딩,"서울특별시 강동구 동남로75길 13-15, 성은빌딩 1층 (명일동)",213674.493379728,450160.936702182,72.6,저가,37.55361756072087,127.15265174160204,0.2283124816288029,1.0,0.0,3.0,46.333333333333336,2026782.0
51,52.0,52.0,52.0,52.0,컴포즈커피 면목2동점,2020-05-13,영업/정상,,서울특별시 중랑구 면목동 181-1,"서울특별시 중랑구 봉우재로 40, 1층 (면목동)",206795.00953824,454234.233946917,72.6,저가,37.59039332163516,127.0748343509565,1.1109542998851996,0.0,1.0,0.0,41.93333333333334,3836910.0
52,53.0,53.0,53.0,53.0,컴포즈커피 상암점,2016-07-08,영업/정상,,서울특별시 마포구 상암동 1601 1층 139호,"서울특별시 마포구 월드컵북로 402, 1층 139호 (상암동)",190125.564768858,453090.149821248,17.92,저가,37.580056263774594,126.88610960424658,1.4432632303050832,1.0,1.0,7.0,26.266666666666666,5098336.0
53,54.0,54.0,54.0,54.0,컴포즈커피 도봉산입구점,2023-03-16,영업/정상,,서울특별시 도봉구 도봉동 554-3,"서울특별시 도봉구 도봉산길 51, 1층 (도봉동)",203452.436161618,464942.358410473,91.8,저가,37.68688945158952,127.03703759715629,0.8802679216427596,1.0,0.0,1.0,91.44444444444444,6200191.0
54,55.0,55.0,55.0,55.0,메가엠지씨커피 역삼테헤란로점,2023-07-10,영업/정상,,서울특별시 강남구 역삼동 735-17 역삼 푸르지오 시티,"서울특별시 강남구 논현로85길 52, 역삼 푸르지오 시티 지상1층 101호-1호 (역삼동)",202905.303175817,443996.984822547,16.78,저가,37.49817676092688,127.03075343548494,0.2589424144196477,0.0,1.0,7.0,63.37777777777777,9343844.0
55,56.0,56.0,56.0,56.0,빽다방 해방촌오거리점,2023-04-26,영업/정상,,서울특별시 용산구 용산동2가 1-530,"서울특별시 용산구 신흥로20길 1, 1층 (용산동2가)",198612.572,449283.874666667,46.28,저가,37.545814619522005,126.98219823444734,0.9048221321013264,1.0,0.0,0.0,70.85555555555555,7977427.0
56,57.0,57.0,57.0,57.0,메가엠지씨커피서원역점,2023-04-07,영업/정상,,서울특별시 관악구 신림동 1641-90 대원빌딩,"서울특별시 관악구 신림로 272, 대원빌딩 1층 101호 (신림동)",193919.806951716,441887.736710799,85.0,저가,37.479156373336544,126.9291577136578,0.575581857093964,1.0,2.0,0.0,60.3111111111111,3560125.0
57,58.0,58.0,58.0,58.0,컴포즈커피 봉천점,2019-01-04,영업/정상,,서울특별시 관악구 봉천동 501-1,"서울특별시 관악구 양녕로 59, 1층 (봉천동)",195204.331969991,442787.084757058,33.1,저가,37.4872671526992,126.94367426316646,0.4069565053276262,1.0,2.0,0.0,28.6,455124.0
58,59.0,59.0,59.0,59.0,메가엠지씨커피 가양두산위브점,2024-04-15,영업/정상,,서울특별시 강서구 등촌동 726 가양역 두산위브,"서울특별시 강서구 공항대로45길 15, 1층 102-2호 (등촌동, 가양역 두산위브)",187059.703431437,450478.956139831,53.72,저가,37.556491610448845,126.85144748440968,1.5522298627681397,1.0,2.0,4.0,30.91111111111111,267190.0
59,60.0,60.0,60.0,60.0,빽다방 석촌역점,2022-02-15,영업/정상,,서울특별시 송파구 송파동 19-8 임진각빌딩,"서울특별시 송파구 백제고분로 385, 임진각빌딩 1층 102호 (송파동)",209502.988374958,444909.24656303,42.9,저가,37.50635236201554,127.10537561238483,0.0383831296424515,2.0,0.0,1.0,46.333333333333336,3731184.0
60,61.0,61.0,61.0,61.0,빽다방 공릉중앙점,2023-03-22,영업/정상,,서울특별시 노원구 공릉동 345-3,"서울특별시 노원구 공릉로 153, 제1호동 1층 제1호 (공릉동)",206943.0912467,457966.394826235,53.28,저가,37.6240183048515,127.07654607539772,0.3865870375134437,1.0,1.0,0.0,28.6,2760815.0
61,62.0,62.0,62.0,62.0,메가엠지씨커피 강서한강자이타워점,2019-11-15,영업/정상,,서울특별시 강서구 가양동 1498 강서한강자이타워 1층 B동 106호,"서울특별시 강서구 양천로 401, 강서한강자이타워 B동 1층 106호 (가양동)",186501.233192961,451485.251875922,71.69,저가,37.56555014784177,126.84510847408976,1.455299789679357,1.0,1.0,0.0,34.24444444444445,1339129.0
62,63.0,63.0,63.0,63.0,빽다방 신도림큐브스테이트점,2023-06-02,영업/정상,,서울특별시 구로구 신도림동 436-7 신도림큐브스테이트,"서울특별시 구로구 경인로 611-7, 1층 102호 (신도림동, 신도림큐브스테이트)",189652.928954182,444919.874182266,45.43,저가,37.50643766217874,126.88087474881388,0.9066254465995546,1.0,0.0,2.0,46.333333333333336,2731150.0
63,64.0,64.0,64.0,64.0,컴포즈커피 공릉2동점,2023-03-24,영업/정상,,서울특별시 노원구 공릉동 340-15 베에스다피아노학원,"서울특별시 노원구 공릉로38길 5, 베에스다피아노학원 1층 (공릉동)",206972.782842062,457894.334428069,56.1,저가,37.62336883330816,127.07688172998392,0.4509077647600624,1.0,1.0,0.0,41.93333333333334,2760815.0
64,65.0,65.0,65.0,65.0,메가엠지씨커피 망원시장점,2023-03-20,영업/정상,,서울특별시 마포구 망원동 423-15,"서울특별시 마포구 망원로 79, 1층 (망원동)",191587.630727801,450600.611783227,39.12,저가,37.55764046828889,126.90269035036005,0.6697274494822749,1.0,0.0,0.0,28.6,4361936.0
65,66.0,66.0,66.0,66.0,컴포즈커피 강서구청점,2021-06-09,영업/정상,,서울특별시 강서구 화곡동 1105-5 1층,"서울특별시 강서구 화곡로 313, 1층 (화곡동)",186651.025909247,450017.832511599,79.33,저가,37.55233109000804,126.84683075973086,0.9811585550597076,2.0,1.0,1.0,55.45555555555556,1278572.0
66,67.0,67.0,67.0,67.0,빽다방 길동역점,2023-04-07,영업/정상,,서울특별시 강동구 길동 391-5,"서울특별시 강동구 양재대로 1482, 1층 (길동)",212335.769240494,448418.228195265,40.0,저가,37.5379347367235,127.1374723693126,0.2243555095785447,2.0,1.0,3.0,26.58888888888889,17163515.0
67,68.0,68.0,68.0,68.0,빽다방 장승배기역점,2024-04-15,영업/정상,,서울특별시 동작구 상도동 180-2,"서울특별시 동작구 장승배기로 71, 1층 (상도동)",194553.678318572,444641.743173612,51.17,저가,37.50397395372889,126.93630347476947,0.4287441309109883,1.0,1.0,1.0,63.5,1962075.0
68,69.0,69.0,69.0,69.0,메가엠지씨커피 회현SK리더스뷰점,2023-03-21,영업/정상,,서울특별시 중구 회현동1가 206 리더스뷰남산,"서울특별시 중구 퇴계로 72, 101호 (회현동1가, 리더스뷰남산)",198219.475276246,450761.443791768,31.95,저가,37.55912667622506,126.97774632214926,0.0312542524281428,1.0,3.0,9.0,91.44444444444444,286457.0
69,70.0,70.0,70.0,70.0,메가엠지씨커피 매봉역점,2023-03-21,영업/정상,,서울특별시 강남구 도곡동 419-3,"서울특별시 강남구 남부순환로378길 12, 지상1층 (도곡동)",203981.526228895,442582.505330857,39.6,저가,37.48542836756423,127.04291647824728,0.3749586858101105,1.0,0.0,1.0,91.44444444444444,2270412.0
70,71.0,71.0,71.0,71.0,컴포즈 커피 개포구룡초교점(COMPOSE COFFEE),2024-08-02,영업/정상,,서울특별시 강남구 개포동 655-4 개포동 메디시스빌딩,"서울특별시 강남구 개포로 265, 개포동 메디시스빌딩 지상1층 107호 (개포동)",204615.136798231,442085.488925554,48.0,저가,37.48094734220654,127.05007743298624,0.7360728772129282,0.0,0.0,0.0,60.3111111111111,2065209.0
71,72.0,72.0,72.0,72.0,컴포즈커피 숭실대점,2023-06-05,영업/정상,,서울특별시 동작구 상도동 488,"서울특별시 동작구 상도로 357, 1층 제카호, 3호 (상도동)",195821.72598572,443860.596515691,41.33,저가,37.49694253026256,126.95064891830012,0.3250217096967118,1.0,0.0,2.0,69.35555555555555,532822.0
72,73.0,73.0,73.0,73.0,컴포즈커피 대치학원가중앙점,2024-02-20,영업/정상,,서울특별시 강남구 대치동 1022-3,"서울특별시 강남구 도곡로78길 6, 지상1층 101호 (대치동)",205140.595,443950.495,60.0,저가,37.49774830997375,127.05603111674743,0.7877334403165475,1.0,1.0,2.0,91.44444444444444,7910447.0
73,74.0,74.0,74.0,74.0,메가엠지씨커피 국악고점,2024-08-02,영업/정상,,서울특별시 강남구 개포동 1200-5,"서울특별시 강남구 논현로12길 33, 지상1층 102호, 103호 (개포동)",204368.873342321,441505.135041513,65.0,저가,37.47571952296423,127.04728978896436,1.2547495092087848,0.0,0.0,0.0,26.266666666666666,1861007.0
74,75.0,75.0,75.0,75.0,메가엠지씨커피 수락리버시티점,2024-02-19,영업/정상,,서울특별시 노원구 상계동 1313-1 크로바프라자,"서울특별시 노원구 누원로 22, 크로바프라자 1층 102호 (상계동)",204610.071935062,464964.284423079,31.44,저가,37.68708199432798,127.05016206029704,0.3763909507346364,0.0,0.0,0.0,45.63333333333334,376169.0
75,76.0,76.0,76.0,76.0,메가엠지씨커피 신촌기차역점,2023-07-13,영업/정상,,서울특별시 서대문구 대현동 110-5,"서울특별시 서대문구 신촌역로 23, 1층 101호 (대현동)",194843.162313771,450715.115031898,51.4,저가,37.55869631799908,126.93953423033872,0.2700271733088882,2.0,0.0,5.0,60.3111111111111,445685.0
